in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,*,*,NO,YES,NO,*,YES,NO,*,2,704,"5,036,287","13,903",0.0028
*,*,*,YES,YES,NO,YES,*,YES,*,604,704,"4,865,930","4,178,916",0.8588
*,*,NO,YES,*,YES,*,*,YES,*,633,704,"3,796,958","3,380,379",0.8903
*,YES,NO,*,*,NO,*,YES,*,NO,130,703,"5,424,481","979,782",0.1806
*,*,NO,NO,YES,NO,NO,*,NO,YES,1,703,"4,449,148","5,346",0.0012
*,*,*,NO,YES,NO,NO,*,NO,YES,1,703,"4,449,148","5,346",0.0012
*,NO,*,YES,*,NO,NO,YES,YES,YES,620,703,"4,872,850","4,293,632",0.8811
*,*,*,YES,YES,*,YES,*,YES,YES,606,703,"4,765,655","4,081,437",0.8564
YES,YES,*,YES,YES,NO,*,NO,NO,YES,1,702,"4,985,561","25,277",0.0051
YES,*,NO,NO,YES,NO,*,*,NO,YES,3,702,"4,893,739","25,113",0.0051
YES,*,*,NO,YES,NO,*,*,NO,YES,3,702,"4,893,739","25,113",0.0051
*,YES,NO,*,YES,NO,*,NO,NO,*,1,702,"4,738,409","5,021",0.0011
YES,NO,*,YES,YES,*,*,YES,YES,*,593,702,"5,045,889","4,255,294",0.8433
NO,NO,*,*,*,YES,*,NO,*,*,414,702,"3,379,214","2,084,453",0.6168
YES,YES,NO,*,*,*,NO,NO,NO,YES,0,701,"4,478,503",0,0.0000
*,NO,*,YES,YES,NO,NO,YES,YES,YES,618,701,"4,864,662","4,285,444",0.8809
YES,NO,*,YES,*,NO,*,*,YES,YES,615,701,"4,888,815","4,258,913",0.8712
NO,NO,*,YES,*,*,NO,NO,*,YES,401,701,"3,557,092","2,044,503",0.5748
*,NO,*,*,*,YES,NO,NO,YES,*,664,701,"3,521,469","3,322,192",0.9434
NO,*,*,YES,YES,*,YES,YES,*,*,250,701,"4,381,479","1,505,286",0.3436
YES,*,YES,YES,YES,NO,YES,*,*,*,35,701,"6,217,244","340,981",0.0548
YES,*,YES,*,YES,NO,YES,*,*,*,35,701,"6,217,244","340,981",0.0548
YES,*,NO,*,*,*,*,YES,*,NO,118,700,"5,735,899","968,134",0.1688
NO,*,*,YES,YES,NO,NO,YES,YES,YES,600,700,"4,612,796","4,018,505",0.8712
YES,YES,*,*,YES,NO,*,YES,YES,YES,575,700,"5,419,448","4,534,956",0.8368
YES,YES,*,YES,YES,*,*,YES,YES,YES,572,700,"5,367,679","4,464,306",0.8317
YES,*,YES,YES,YES,*,*,NO,*,YES,62,700,"4,650,391","437,101",0.0940
YES,*,YES,*,YES,*,*,NO,*,YES,62,700,"4,650,391","437,101",0.0940
YES,YES,NO,NO,*,*,*,*,*,YES,87,700,"4,685,654","591,533",0.1262
YES,YES,*,NO,*,*,*,*,*,YES,87,700,"4,685,654","591,533",0.1262
*,*,YES,YES,YES,NO,YES,YES,NO,*,0,700,"6,069,128",0,0.0000
*,*,YES,*,YES,NO,YES,YES,NO,*,0,700,"6,069,128",0,0.0000
YES,*,*,*,*,*,NO,NO,YES,*,637,700,"3,900,158","3,512,699",0.9007
*,*,YES,YES,*,*,YES,YES,NO,YES,0,699,"5,980,798",0,0.0000
*,*,YES,*,*,*,YES,YES,NO,YES,0,699,"5,980,798",0,0.0000
*,*,YES,YES,*,NO,YES,*,NO,YES,0,699,"6,017,346",0,0.0000
*,*,YES,*,*,NO,YES,*,NO,YES,0,699,"6,017,346",0,0.0000
YES,NO,*,*,YES,NO,NO,*,YES,YES,612,699,"4,630,253","4,044,711",0.8735
NO,YES,*,*,*,NO,*,*,YES,YES,585,699,"4,600,955","3,920,043",0.8520
YES,*,YES,YES,YES,*,YES,*,NO,*,0,699,"6,081,169",0,0.0000
YES,*,YES,*,YES,*,YES,*,NO,*,0,699,"6,081,169",0,0.0000
NO,YES,*,*,*,*,*,YES,YES,*,578,699,"4,676,089","3,943,058",0.8432
*,YES,NO,YES,YES,*,NO,NO,NO,YES,0,698,"4,483,946",0,0.0000
*,*,YES,YES,YES,NO,YES,*,NO,YES,0,697,"6,000,373",0,0.0000
*,*,YES,*,YES,NO,YES,*,NO,YES,0,697,"6,000,373",0,0.0000
*,NO,*,YES,*,YES,NO,*,YES,YES,628,697,"3,779,713","3,374,688",0.8928
YES,YES,*,*,YES,NO,NO,NO,NO,*,2,697,"4,900,624","30,298",0.0062
YES,*,NO,YES,YES,NO,NO,YES,YES,*,595,697,"5,186,796","4,498,129",0.8672
YES,YES,*,YES,*,NO,*,YES,YES,*,577,697,"5,493,069","4,638,309",0.8444
NO,NO,*,YES,*,YES,NO,*,*,*,299,697,"3,669,170","1,522,821",0.4150
*,NO,*,*,*,*,*,*,*,NO,215,696,"5,559,882","1,520,022",0.2734
*,*,YES,YES,YES,*,YES,YES,NO,YES,0,696,"5,955,913",0,0.0000
*,*,YES,*,YES,*,YES,YES,NO,YES,0,696,"5,955,913",0,0.0000
NO,*,NO,*,*,NO,YES,YES,*,YES,292,696,"4,209,297","1,701,448",0.4042
*,*,NO,YES,YES,NO,*,NO,YES,*,621,696,"4,076,481","3,643,159",0.8937
YES,NO,*,*,YES,*,YES,YES,YES,*,614,696,"4,806,189","4,208,937",0.8757
YES,NO,*,*,YES,NO,YES,YES,*,*,120,696,"5,719,730","926,595",0.1620
*,NO,NO,NO,*,NO,*,YES,*,*,265,696,"4,531,210","1,670,213",0.3686
*,NO,*,NO,*,NO,*,YES,*,*,265,696,"4,531,210","1,670,213",0.3686
*,YES,*,*,*,NO,NO,*,*,NO,91,695,"6,062,894","768,948",0.1268
*,YES,NO,YES,*,NO,NO,YES,YES,YES,574,695,"4,953,244","4,198,653",0.8477
YES,NO,*,YES,YES,NO,*,*,YES,YES,609,695,"4,840,199","4,210,297",0.8699
NO,NO,*,YES,YES,*,NO,NO,*,*,391,695,"3,512,970","1,974,559",0.5621
NO,*,*,*,YES,YES,*,NO,*,YES,387,694,"3,231,543","1,860,836",0.5758
NO,NO,*,YES,YES,NO,*,*,NO,*,1,694,"4,474,392","8,927",0.0020
NO,YES,NO,*,YES,NO,*,*,YES,*,575,694,"4,552,949","3,828,669",0.8409
YES,NO,NO,*,*,NO,NO,NO,*,*,231,694,"4,131,490","1,268,359",0.3070
NO,*,*,*,YES,NO,NO,NO,*,YES,418,693,"3,735,859","2,208,055",0.5910
*,YES,NO,NO,YES,*,NO,*,*,YES,119,693,"4,212,934","712,375",0.1691
*,YES,*,NO,YES,*,NO,*,*,YES,119,693,"4,212,934","712,375",0.1691
YES,YES,NO,YES,YES,*,NO,NO,*,*,60,693,"4,568,159","422,501",0.0925
YES,YES,NO,*,YES,NO,*,NO,*,*,87,693,"4,794,446","615,627",0.1284
YES,*,*,*,YES,NO,*,YES,*,NO,62,692,"6,582,480","593,734",0.0902
NO,*,NO,*,*,YES,*,NO,*,YES,393,692,"3,262,349","1,931,147",0.5919
*,NO,*,YES,YES,*,YES,YES,NO,*,0,692,"5,464,135",0,0.0000
*,*,*,YES,*,*,NO,YES,*,NO,72,691,"6,645,667","700,527",0.1054
YES,NO,*,YES,*,*,*,YES,YES,YES,587,691,"4,944,605","4,192,375",0.8479
NO,NO,NO,*,YES,*,NO,NO,YES,*,653,691,"3,423,763","3,224,162",0.9417
NO,*,NO,*,*,NO,NO,NO,*,*,416,691,"3,745,205","2,190,608",0.5849
YES,YES,NO,*,YES,*,NO,NO,NO,YES,0,690,"4,391,654",0,0.0000
NO,YES,NO,*,*,NO,NO,YES,NO,YES,1,690,"4,608,392","1,910",0.0004
*,*,NO,YES,*,YES,*,*,YES,YES,622,690,"3,688,955","3,290,117",0.8919
NO,YES,NO,YES,YES,*,NO,YES,NO,*,1,690,"4,622,238","1,910",0.0004
YES,*,NO,NO,*,*,NO,NO,*,*,203,690,"3,571,457","1,014,389",0.2840
YES,*,*,NO,*,*,NO,NO,*,*,203,690,"3,571,457","1,014,389",0.2840
YES,YES,*,*,*,NO,NO,NO,NO,YES,1,689,"4,823,771","25,277",0.0052
YES,YES,NO,YES,*,*,NO,NO,*,YES,60,689,"4,543,319","417,389",0.0919
*,*,YES,YES,*,*,*,NO,NO,*,1,689,"4,519,637","25,277",0.0056
*,*,YES,*,*,*,*,NO,NO,*,1,689,"4,519,637","25,277",0.0056
*,YES,NO,*,*,NO,*,NO,NO,YES,0,688,"4,590,960",0,0.0000
YES,NO,*,*,*,*,YES,YES,YES,YES,608,688,"4,774,538","4,177,467",0.8749
NO,NO,*,YES,YES,*,NO,NO,*,YES,388,688,"3,465,080","1,952,491",0.5635
*,NO,*,YES,*,NO,YES,*,NO,*,0,688,"5,483,492",0,0.0000
YES,NO,NO,*,*,NO,YES,*,*,*,171,688,"5,452,699","1,273,349",0.2335
*,YES,*,*,YES,*,*,*,NO,NO,1,687,"5,963,994","5,021",0.0008
YES,*,NO,YES,*,NO,NO,YES,YES,YES,586,687,"5,084,045","4,402,695",0.8660
YES,*,YES,YES,*,*,YES,YES,*,YES,39,687,"5,998,090","344,739",0.0575
YES,*,YES,*,*,*,YES,YES,*,YES,39,687,"5,998,090","344,739",0.0575
NO,*,NO,YES,YES,*,YES,*,*,YES,295,687,"4,108,273","1,733,746",0.4220
*,*,NO,*,*,YES,NO,NO,YES,*,649,687,"3,410,692","3,217,427",0.9433
*,NO,NO,*,YES,YES,*,NO,YES,*,649,687,"3,299,653","3,100,979",0.9398
YES,YES,*,*,*,NO,NO,*,YES,*,567,687,"5,343,556","4,495,721",0.8413
*,YES,NO,YES,*,NO,NO,NO,*,*,110,687,"4,716,456","762,984",0.1618
*,*,NO,YES,*,NO,*,NO,YES,YES,615,686,"3,976,413","3,578,137",0.8998
*,YES,NO,YES,YES,NO,NO,YES,YES,YES,566,686,"4,872,611","4,130,084",0.8476
NO,NO,*,YES,*,YES,NO,*,*,YES,295,686,"3,587,162","1,486,031",0.4143
YES,*,NO,NO,*,*,YES,*,YES,*,616,686,"4,537,755","4,071,532",0.8973
YES,*,*,NO,*,*,YES,*,YES,*,616,686,"4,537,755","4,071,532",0.8973
YES,YES,NO,*,YES,NO,*,*,YES,*,576,686,"5,127,140","4,362,679",0.8509
*,NO,NO,NO,YES,YES,NO,NO,*,*,301,686,"3,281,258","1,480,580",0.4512
*,NO,*,NO,YES,YES,NO,NO,*,*,301,686,"3,281,258","1,480,580",0.4512
YES,YES,NO,*,*,NO,*,NO,*,YES,85,685,"4,704,975","596,035",0.1267
YES,NO,*,YES,*,*,YES,YES,*,*,111,685,"5,557,785","869,985",0.1565
*,NO,*,*,*,NO,NO,NO,NO,*,4,684,"4,170,870","27,540",0.0066
YES,YES,NO,YES,*,*,*,NO,NO,*,1,684,"4,524,645","5,021",0.0011
YES,YES,NO,NO,*,*,*,YES,NO,*,2,684,"4,781,999","12,455",0.0026
YES,YES,*,NO,*,*,*,YES,NO,*,2,684,"4,781,999","12,455",0.0026
YES,NO,NO,*,YES,*,YES,YES,YES,*,602,684,"4,726,235","4,128,982",0.8736
YES,YES,*,YES,*,*,NO,*,YES,*,560,684,"5,260,564","4,396,150",0.8357
NO,*,NO,YES,*,YES,NO,*,*,*,272,684,"3,509,734","1,336,694",0.3809
*,*,*,YES,*,NO,NO,*,*,NO,81,683,"6,578,842","756,751",0.1150
NO,NO,NO,*,YES,*,NO,NO,YES,YES,646,683,"3,375,994","3,181,342",0.9423
NO,YES,*,*,YES,NO,*,*,YES,YES,571,683,"4,496,062","3,833,898",0.8527
*,NO,NO,YES,*,NO,YES,YES,*,YES,197,683,"5,138,167","1,292,558",0.2516
YES,*,YES,YES,YES,*,YES,YES,*,YES,38,683,"5,965,223","336,757",0.0565
YES,*,YES,*,YES,*,YES,YES,*,YES,38,683,"5,965,223","336,757",0.0565
*,YES,*,*,*,*,NO,YES,*,NO,81,682,"5,958,753","717,109",0.1203
YES,*,NO,YES,YES,NO,NO,YES,YES,YES,581,682,"5,042,863","4,361,513",0.8649
YES,NO,*,YES,YES,*,*,YES,YES,YES,578,682,"4,866,855","4,114,625",0.8454
NO,NO,*,*,*,YES,*,NO,*,YES,401,682,"3,242,737","2,000,331",0.6169
YES,NO,YES,YES,*,NO,NO,YES,*,YES,37,682,"5,707,364","314,466",0.0551
YES,NO,YES,*,*,NO,NO,YES,*,YES,37,682,"5,707,364","314,466",0.0551
*,*,YES,YES,YES,*,*,NO,NO,*,1,682,"4,474,111","25,277",0.0056
*,*,YES,*,YES,*,*,NO,NO,*,1,682,"4,474,111","25,277",0.0056
YES,NO,*,*,*,*,*,NO,YES,*,635,682,"3,635,156","3,356,821",0.9234
*,NO,*,YES,YES,YES,NO,*,YES,*,612,682,"3,653,109","3,244,892",0.8883
YES,NO,NO,*,YES,NO,NO,NO,*,*,228,682,"4,030,117","1,235,864",0.3067
NO,YES,NO,YES,*,NO,NO,*,NO,YES,1,681,"4,547,177","1,910",0.0004
*,NO,*,*,*,YES,NO,NO,YES,YES,644,681,"3,396,301","3,197,024",0.9413
YES,YES,*,*,*,*,*,YES,*,NO,70,680,"6,080,791","619,124",0.1018
YES,YES,*,*,YES,NO,NO,NO,NO,YES,1,680,"4,765,666","25,277",0.0053
*,*,NO,YES,YES,NO,*,NO,YES,YES,609,680,"3,944,279","3,546,003",0.8990
YES,YES,NO,YES,YES,*,NO,NO,*,YES,57,680,"4,455,454","396,475",0.0890
YES,*,NO,NO,*,NO,NO,*,NO,*,2,680,"4,587,779","19,328",0.0042
YES,*,*,NO,*,NO,NO,*,NO,*,2,680,"4,587,779","19,328",0.0042
NO,NO,*,*,*,*,YES,*,NO,*,0,680,"4,329,762",0,0.0000
*,*,YES,YES,*,*,*,NO,NO,YES,1,679,"4,441,475","25,277",0.0057
*,*,YES,*,*,*,*,NO,NO,YES,1,679,"4,441,475","25,277",0.0057
NO,YES,NO,*,YES,NO,NO,YES,NO,YES,1,679,"4,490,408","1,910",0.0004
YES,NO,NO,*,*,NO,NO,NO,*,YES,226,679,"4,026,471","1,226,168",0.3045
YES,NO,YES,YES,YES,NO,NO,YES,*,YES,37,679,"5,685,933","314,466",0.0553
YES,NO,YES,*,YES,NO,NO,YES,*,YES,37,679,"5,685,933","314,466",0.0553
NO,*,NO,YES,*,YES,NO,*,*,YES,271,679,"3,481,714","1,328,363",0.3815
*,*,*,*,YES,YES,NO,NO,YES,*,639,679,"3,276,623","3,066,904",0.9360
YES,*,NO,NO,*,YES,NO,YES,YES,*,604,679,"4,515,580","3,968,097",0.8788
YES,*,*,NO,*,YES,NO,YES,YES,*,604,679,"4,515,580","3,968,097",0.8788
NO,*,*,YES,YES,NO,YES,YES,*,*,242,679,"4,298,393","1,480,190",0.3444
YES,YES,*,*,*,NO,*,*,*,NO,76,678,"6,073,466","644,913",0.1062
*,NO,NO,NO,YES,YES,NO,NO,*,YES,298,678,"3,221,760","1,464,776",0.4547
*,NO,*,NO,YES,YES,NO,NO,*,YES,298,678,"3,221,760","1,464,776",0.4547
YES,*,YES,YES,*,NO,YES,*,*,YES,35,678,"5,995,000","337,599",0.0563
YES,*,YES,*,*,NO,YES,*,*,YES,35,678,"5,995,000","337,599",0.0563
NO,NO,*,*,*,NO,*,YES,YES,*,609,678,"4,162,532","3,746,299",0.9000
YES,*,YES,YES,*,*,YES,*,NO,YES,0,677,"5,869,390",0,0.0000
YES,*,YES,*,*,*,YES,*,NO,YES,0,677,"5,869,390",0,0.0000
*,NO,NO,*,YES,YES,*,NO,YES,YES,639,677,"3,252,132","3,053,458",0.9389
YES,YES,NO,*,*,*,*,YES,YES,*,576,677,"5,049,530","4,342,053",0.8599
*,*,NO,YES,YES,*,YES,*,YES,*,579,677,"4,496,971","3,819,565",0.8494
YES,*,YES,YES,*,NO,YES,YES,*,*,32,677,"6,020,167","308,494",0.0512
YES,*,YES,*,*,NO,YES,YES,*,*,32,677,"6,020,167","308,494",0.0512
*,NO,*,*,*,NO,YES,YES,NO,YES,1,676,"5,387,999","11,112",0.0021
YES,NO,NO,*,*,*,YES,YES,YES,YES,596,676,"4,694,583","4,097,512",0.8728
YES,YES,NO,NO,YES,*,*,*,NO,*,1,676,"4,565,048","2,791",0.0006
YES,YES,*,NO,YES,*,*,*,NO,*,1,676,"4,565,048","2,791",0.0006
NO,YES,*,*,*,NO,*,YES,YES,*,559,676,"4,567,499","3,857,297",0.8445
*,YES,NO,YES,YES,NO,NO,NO,*,*,106,676,"4,609,350","732,959",0.1590
YES,*,YES,YES,*,*,NO,NO,*,*,59,676,"4,453,580","407,674",0.0915
YES,*,YES,*,*,*,NO,NO,*,*,59,676,"4,453,580","407,674",0.0915
YES,YES,NO,NO,*,*,NO,*,*,*,83,676,"4,378,670","566,453",0.1294
YES,YES,*,NO,*,*,NO,*,*,*,83,676,"4,378,670","566,453",0.1294
*,*,*,YES,YES,*,*,YES,NO,NO,0,675,"6,376,330",0,0.0000
YES,*,*,*,*,NO,NO,*,*,NO,65,675,"6,416,180","588,865",0.0918
*,YES,NO,*,YES,NO,*,NO,NO,YES,0,675,"4,501,275",0,0.0000
*,*,*,YES,*,NO,YES,*,YES,YES,581,675,"4,644,141","3,980,133",0.8570
YES,*,YES,YES,YES,NO,YES,*,*,YES,34,675,"5,970,044","329,617",0.0552
YES,*,YES,*,YES,NO,YES,*,*,YES,34,675,"5,970,044","329,617",0.0552
YES,YES,NO,YES,YES,*,*,NO,NO,*,1,675,"4,421,847","5,021",0.0011
NO,*,NO,NO,YES,*,NO,*,NO,*,3,675,"3,889,846","8,661",0.0022
NO,*,*,NO,YES,*,NO,*,NO,*,3,675,"3,889,846","8,661",0.0022
YES,YES,*,YES,YES,NO,*,YES,YES,*,556,675,"5,312,084","4,474,639",0.8424
YES,YES,NO,YES,*,*,*,*,YES,*,568,675,"5,017,114","4,284,819",0.8540
*,YES,NO,NO,YES,*,NO,YES,*,*,105,675,"4,344,462","680,545",0.1566
*,YES,*,NO,YES,*,NO,YES,*,*,105,675,"4,344,462","680,545",0.1566
NO,NO,*,YES,YES,YES,NO,*,*,*,282,675,"3,510,022","1,396,159",0.3978
*,*,YES,YES,YES,*,*,NO,NO,YES,1,674,"4,415,786","25,277",0.0057
*,*,YES,*,YES,*,*,NO,NO,YES,1,674,"4,415,786","25,277",0.0057
NO,YES,NO,YES,YES,NO,NO,*,NO,YES,1,674,"4,472,373","1,910",0.0004
*,NO,*,YES,YES,YES,NO,*,YES,YES,605,674,"3,592,890","3,187,865",0.8873
YES,*,YES,YES,*,*,YES,YES,NO,*,0,674,"5,908,735",0,0.0000
YES,*,YES,*,*,*,YES,YES,NO,*,0,674,"5,908,735",0,0.0000
*,*,NO,YES,YES,YES,*,*,YES,*,605,674,"3,560,329","3,158,299",0.8871
YES,*,YES,YES,YES,*,YES,*,NO,YES,0,673,"5,836,423",0,0.0000
YES,*,YES,*,YES,*,YES,*,NO,YES,0,673,"5,836,423",0,0.0000
YES,NO,NO,*,YES,NO,NO,NO,*,YES,225,673,"3,978,351","1,225,716",0.3081
*,*,NO,YES,*,NO,YES,*,YES,*,577,673,"4,529,468","3,860,140",0.8522
NO,*,*,YES,*,NO,*,NO,*,*,390,673,"3,887,904","2,250,661",0.5789
*,*,*,*,NO,*,*,YES,*,*,210,673,"4,899,915","1,430,745",0.2920
*,*,*,*,YES,YES,NO,NO,YES,YES,632,672,"3,236,496","3,026,776",0.9352
YES,NO,*,*,YES,*,YES,YES,YES,YES,593,672,"4,634,769","4,047,964",0.8734
NO,NO,*,*,YES,NO,*,YES,NO,*,1,672,"4,396,666","5,346",0.0012
NO,*,*,*,*,YES,NO,NO,*,*,387,672,"3,230,093","1,937,723",0.5999
NO,*,NO,*,YES,YES,*,NO,*,*,372,672,"3,114,044","1,779,747",0.5715
YES,YES,NO,*,YES,NO,*,NO,*,YES,81,671,"4,594,859","557,554",0.1213
*,YES,*,YES,*,*,*,*,*,NO,90,670,"6,077,482","811,719",0.1336
YES,YES,NO,YES,*,*,*,NO,NO,YES,0,670,"4,401,709",0,0.0000
YES,*,*,*,*,*,NO,NO,YES,YES,611,670,"3,690,440","3,332,967",0.9031
*,NO,*,*,YES,NO,NO,NO,NO,*,3,670,"4,057,033","17,876",0.0044
YES,*,YES,YES,YES,NO,YES,YES,*,*,31,670,"5,965,259","300,511",0.0504
YES,*,YES,*,YES,NO,YES,YES,*,*,31,670,"5,965,259","300,511",0.0504
*,*,NO,NO,*,*,*,YES,*,NO,190,669,"4,787,561","1,331,698",0.2782
*,*,*,NO,*,*,*,YES,*,NO,190,669,"4,787,561","1,331,698",0.2782
YES,*,*,YES,*,*,*,YES,*,NO,60,669,"6,565,872","574,309",0.0875
*,NO,*,*,*,NO,NO,NO,NO,YES,3,669,"4,078,628","17,876",0.0044
*,NO,NO,YES,YES,NO,YES,YES,*,YES,188,669,"5,048,205","1,224,573",0.2426
NO,*,NO,*,YES,NO,YES,YES,*,YES,282,669,"4,040,034","1,639,030",0.4057
NO,NO,*,YES,YES,YES,NO,*,*,YES,280,669,"3,461,004","1,372,610",0.3966
*,*,NO,*,YES,NO,YES,YES,YES,*,573,669,"4,501,343","3,843,574",0.8539
YES,*,YES,YES,YES,*,NO,NO,*,*,57,669,"4,412,768","394,119",0.0893
YES,*,YES,*,YES,*,NO,NO,*,*,57,669,"4,412,768","394,119",0.0893
*,NO,*,*,YES,NO,YES,YES,NO,YES,1,668,"5,339,663","11,112",0.0021
*,NO,NO,*,YES,NO,YES,*,NO,*,2,668,"5,163,244","22,322",0.0043
YES,*,YES,YES,*,NO,YES,*,NO,*,0,668,"5,903,873",0,0.0000
YES,*,YES,*,*,NO,YES,*,NO,*,0,668,"5,903,873",0,0.0000
NO,*,NO,*,YES,NO,NO,NO,*,*,406,668,"3,622,508","2,153,979",0.5946
YES,NO,*,YES,*,NO,NO,NO,*,*,190,668,"4,074,993","1,084,583",0.2662
NO,NO,NO,*,*,YES,*,NO,*,*,393,668,"3,169,200","1,958,252",0.6179
*,*,NO,NO,*,*,*,NO,YES,YES,638,667,"3,352,153","3,196,826",0.9537
*,*,*,NO,*,*,*,NO,YES,YES,638,667,"3,352,153","3,196,826",0.9537
*,*,NO,YES,YES,YES,*,*,YES,YES,599,667,"3,517,680","3,118,842",0.8866
YES,*,YES,YES,YES,*,YES,YES,NO,*,0,667,"5,853,898",0,0.0000
YES,*,YES,*,YES,*,YES,YES,NO,*,0,667,"5,853,898",0,0.0000
NO,*,NO,YES,*,NO,NO,YES,YES,*,567,667,"4,407,873","3,771,839",0.8557
YES,NO,*,YES,YES,*,YES,YES,*,*,105,667,"5,438,264","817,266",0.1503
*,NO,NO,NO,YES,NO,NO,*,*,*,307,667,"3,937,295","1,682,682",0.4274
*,NO,*,NO,YES,NO,NO,*,*,*,307,667,"3,937,295","1,682,682",0.4274
*,*,YES,YES,*,NO,YES,YES,NO,YES,0,666,"5,771,864",0,0.0000
*,*,YES,*,*,NO,YES,YES,NO,YES,0,666,"5,771,864",0,0.0000
YES,YES,NO,*,*,NO,*,*,YES,YES,560,666,"4,947,489","4,201,694",0.8493
*,*,NO,NO,YES,NO,NO,YES,NO,*,1,666,"4,419,388","5,346",0.0012
*,*,*,NO,YES,NO,NO,YES,NO,*,1,666,"4,419,388","5,346",0.0012
*,NO,*,YES,YES,NO,YES,*,NO,*,0,666,"5,358,240",0,0.0000
YES,NO,NO,NO,*,YES,NO,YES,YES,*,595,666,"4,444,062","3,920,246",0.8821
YES,NO,*,NO,*,YES,NO,YES,YES,*,595,666,"4,444,062","3,920,246",0.8821
NO,YES,*,YES,*,*,*,*,YES,*,550,666,"4,487,333","3,777,628",0.8418
NO,*,NO,YES,YES,YES,NO,*,*,*,259,666,"3,385,901","1,248,545",0.3687
NO,*,*,*,*,*,*,*,*,NO,230,665,"4,659,628","1,603,895",0.3442
NO,YES,NO,*,*,*,*,*,YES,YES,555,665,"4,235,679","3,574,708",0.8440
*,YES,NO,YES,*,NO,NO,NO,*,YES,105,665,"4,513,182","716,486",0.1588
YES,*,YES,YES,*,*,NO,NO,*,YES,56,665,"4,377,730","386,236",0.0882
YES,*,YES,*,*,*,NO,NO,*,YES,56,665,"4,377,730","386,236",0.0882
YES,YES,*,YES,YES,*,NO,*,YES,*,543,665,"5,097,290","4,247,426",0.8333
NO,NO,*,*,*,NO,*,NO,*,*,446,665,"3,530,804","2,302,370",0.6521
NO,NO,NO,YES,*,NO,NO,YES,*,*,293,665,"4,184,770","1,869,817",0.4468
*,*,*,YES,YES,NO,*,*,NO,NO,1,664,"6,292,724","5,021",0.0008
*,*,YES,YES,YES,NO,YES,YES,NO,YES,0,664,"5,754,890",0,0.0000
*,*,YES,*,YES,NO,YES,YES,NO,YES,0,664,"5,754,890",0,0.0000
YES,*,NO,NO,*,YES,NO,YES,YES,YES,590,664,"4,396,279","3,855,802",0.8771
YES,*,*,NO,*,YES,NO,YES,YES,YES,590,664,"4,396,279","3,855,802",0.8771
NO,YES,NO,YES,*,NO,NO,YES,NO,*,1,664,"4,530,766","1,910",0.0004
YES,*,*,*,YES,*,NO,NO,YES,*,603,664,"3,653,138","3,272,136",0.8957
*,*,NO,YES,*,YES,NO,*,YES,*,597,664,"3,573,692","3,189,190",0.8924
YES,NO,*,YES,YES,NO,NO,NO,*,*,189,664,"4,030,130","1,062,204",0.2636
YES,NO,NO,NO,*,*,*,NO,*,*,240,664,"3,405,893","1,192,109",0.3500
YES,NO,*,NO,*,*,*,NO,*,*,240,664,"3,405,893","1,192,109",0.3500
YES,NO,*,YES,*,NO,YES,*,*,*,129,664,"5,476,297","986,278",0.1801
YES,YES,NO,YES,YES,*,*,NO,NO,YES,0,663,"4,323,503",0,0.0000
*,*,NO,*,*,YES,NO,NO,YES,YES,626,663,"3,261,986","3,073,978",0.9424
NO,*,NO,YES,YES,YES,NO,*,*,YES,259,663,"3,373,995","1,248,545",0.3700
NO,*,NO,YES,*,NO,YES,*,*,YES,288,663,"4,069,599","1,728,004",0.4246
NO,NO,*,*,YES,YES,*,NO,*,*,379,663,"3,099,839","1,833,171",0.5914
NO,NO,NO,*,*,NO,*,*,NO,YES,2,662,"3,983,419","14,273",0.0036
YES,NO,*,YES,*,NO,NO,NO,*,YES,187,662,"4,035,572","1,057,414",0.2620
NO,*,NO,*,YES,YES,*,NO,*,YES,367,662,"3,056,382","1,755,924",0.5745
YES,*,YES,YES,YES,NO,YES,*,NO,*,0,662,"5,856,948",0,0.0000
YES,*,YES,*,YES,NO,YES,*,NO,*,0,662,"5,856,948",0,0.0000
YES,*,NO,NO,YES,YES,NO,YES,YES,*,588,662,"4,400,603","3,860,660",0.8773
YES,*,*,NO,YES,YES,NO,YES,YES,*,588,662,"4,400,603","3,860,660",0.8773
*,NO,*,*,YES,NO,NO,NO,NO,YES,3,661,"3,999,266","17,876",0.0045
NO,NO,*,YES,*,*,*,YES,YES,*,597,661,"4,000,344","3,615,814",0.9039
YES,NO,NO,*,*,NO,NO,*,YES,*,582,661,"4,318,400","3,812,956",0.8830
NO,*,*,YES,YES,NO,*,NO,*,*,383,661,"3,806,401","2,214,448",0.5818
YES,YES,NO,NO,YES,*,*,YES,*,*,69,661,"4,595,066","488,017",0.1062
YES,YES,*,NO,YES,*,*,YES,*,*,69,661,"4,595,066","488,017",0.1062
*,YES,YES,YES,*,*,YES,*,*,*,50,661,"5,709,190","469,048",0.0822
*,YES,YES,*,*,*,YES,*,*,*,50,661,"5,709,190","469,048",0.0822
YES,*,*,*,YES,*,NO,*,*,NO,58,660,"6,321,384","540,204",0.0855
YES,NO,NO,*,YES,*,YES,YES,YES,YES,581,660,"4,554,814","3,968,009",0.8712
*,YES,NO,YES,YES,NO,NO,NO,*,YES,103,660,"4,463,867","699,322",0.1567
YES,NO,*,YES,YES,NO,NO,NO,*,YES,187,660,"4,014,287","1,057,414",0.2634
