in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,*,*,NO,YES,NO,*,YES,*,19,148,1100954.85,169706.96,0.1541
*,NO,*,*,YES,YES,*,YES,*,50,148,1101366.06,328935.55,0.2987
*,NO,*,*,*,YES,NO,*,*,55,148,1099266.82,357506.12,0.3252
YES,YES,NO,*,NO,*,*,*,*,31,148,1140020.68,219966.77,0.1929
*,NO,NO,*,YES,*,NO,YES,NO,0,147,1219823.46,0.00,0.0000
YES,YES,*,*,*,NO,YES,YES,NO,0,147,1225013.53,0.00,0.0000
YES,*,*,*,NO,NO,*,YES,NO,1,147,1174520.22,9664.01,0.0082
NO,*,*,*,YES,NO,NO,*,NO,0,147,1082115.20,0.00,0.0000
NO,YES,*,*,*,NO,NO,*,NO,0,147,1071633.09,0.00,0.0000
*,YES,NO,*,YES,NO,YES,*,NO,0,147,1134765.35,0.00,0.0000
*,*,NO,NO,YES,*,YES,*,NO,0,147,1072749.73,0.00,0.0000
*,*,*,NO,YES,*,YES,*,NO,0,147,1072749.73,0.00,0.0000
*,*,*,*,YES,*,YES,*,YES,128,147,1055852.76,940938.62,0.8912
*,*,NO,YES,*,*,*,*,YES,123,147,1182200.70,1006029.17,0.8510
YES,NO,*,*,YES,NO,NO,*,*,13,147,1536013.21,118389.44,0.0771
YES,*,*,YES,*,*,YES,*,*,30,147,1253737.46,253581.93,0.2023
NO,YES,NO,*,*,*,YES,*,*,51,147,1025826.46,347251.23,0.3385
NO,YES,NO,*,YES,NO,*,*,NO,0,146,1074104.73,0.00,0.0000
*,NO,NO,YES,YES,*,*,YES,*,31,146,1256986.13,256719.21,0.2042
NO,NO,NO,NO,*,*,*,YES,*,72,146,912994.38,461981.43,0.5060
NO,NO,*,NO,*,*,*,YES,*,72,146,912994.38,461981.43,0.5060
YES,YES,NO,YES,YES,NO,NO,*,*,13,146,1310655.53,116909.84,0.0892
*,YES,NO,*,NO,*,NO,*,*,34,146,1065242.96,238394.38,0.2238
NO,YES,NO,*,*,NO,YES,*,*,50,146,1021612.67,343037.44,0.3358
YES,YES,NO,YES,*,*,NO,YES,NO,0,145,1293980.42,0.00,0.0000
NO,*,NO,*,*,NO,YES,*,NO,0,145,1016889.75,0.00,0.0000
*,*,NO,YES,*,*,YES,*,NO,0,145,1148592.03,0.00,0.0000
*,*,*,YES,*,*,*,YES,YES,123,145,1264623.45,1084396.55,0.8575
NO,*,*,*,YES,NO,*,*,YES,119,145,1113846.37,928323.29,0.8334
*,YES,*,*,YES,*,*,*,YES,123,145,1209445.00,1050842.88,0.8689
*,NO,NO,NO,*,*,NO,YES,*,49,145,1078432.31,333622.94,0.3094
*,NO,*,NO,*,*,NO,YES,*,49,145,1078432.31,333622.94,0.3094
YES,NO,NO,*,*,NO,*,YES,*,33,145,1206725.34,294297.68,0.2439
YES,YES,*,*,NO,*,*,YES,*,27,145,1129705.99,201058.01,0.1780
NO,YES,*,*,YES,NO,NO,*,*,32,145,1095341.23,277350.66,0.2532
YES,NO,*,YES,*,NO,NO,*,*,9,145,1580528.03,97873.52,0.0619
*,*,*,*,YES,YES,NO,*,*,39,145,1095370.65,272885.14,0.2491
NO,*,*,YES,YES,*,NO,*,*,39,145,1179371.94,360667.31,0.3058
NO,*,*,*,*,NO,YES,YES,NO,0,144,990727.69,0.00,0.0000
NO,*,NO,*,*,*,YES,YES,NO,0,144,969325.14,0.00,0.0000
NO,*,NO,*,YES,*,*,YES,YES,124,144,1047056.38,899753.35,0.8593
*,*,NO,*,YES,*,YES,*,YES,126,144,1024977.04,920104.07,0.8977
*,YES,NO,NO,NO,NO,*,YES,*,36,144,1011995.47,232568.10,0.2298
*,YES,*,NO,NO,NO,*,YES,*,36,144,1011995.47,232568.10,0.2298
*,NO,NO,NO,*,NO,*,YES,*,54,144,1017816.31,419417.45,0.4121
*,NO,*,NO,*,NO,*,YES,*,54,144,1017816.31,419417.45,0.4121
*,NO,NO,NO,*,YES,*,YES,*,59,144,1042396.30,367918.74,0.3530
*,NO,*,NO,*,YES,*,YES,*,59,144,1042396.30,367918.74,0.3530
NO,*,NO,*,NO,*,*,YES,*,47,144,934029.21,272918.25,0.2922
NO,NO,*,*,*,*,YES,*,*,62,144,962820.15,424329.12,0.4407
NO,YES,*,YES,YES,*,*,*,*,33,144,1100897.31,289726.92,0.2632
NO,YES,*,*,*,*,NO,YES,NO,0,143,1035259.09,0.00,0.0000
YES,*,NO,*,NO,*,*,YES,NO,1,143,1114374.39,9664.01,0.0087
YES,NO,NO,*,*,*,NO,*,NO,1,143,1242271.25,9664.01,0.0078
NO,*,NO,YES,*,NO,*,*,NO,0,143,1051347.93,0.00,0.0000
YES,*,*,*,*,*,*,YES,YES,128,143,1205547.23,1100512.41,0.9129
*,*,NO,*,*,NO,NO,*,YES,122,143,1100674.02,940774.05,0.8547
YES,*,NO,*,YES,NO,YES,YES,*,30,143,1127071.60,253326.17,0.2248
*,NO,NO,NO,*,*,YES,YES,*,64,143,981780.30,453713.25,0.4621
